model,metric,papers,rows,value,ci_low,ci_high,value_before_cleaning,macro
GPT-6 Astra QSP,accuracy,150,2400,0.91,0.8983333333333333,0.92125,0.9095833333333333,0.91
GPT-6 Astra QSP,precision,150,2400,0.912,0.8941621139428899,0.9289457113060025,0.9119119119119119,0.8763137901568328
GPT-6 Astra QSP,recall,150,2400,0.8769230769230769,0.8568538415075417,0.8965871456841861,0.8759615384615385,0.851079796671471
GPT-6 Astra QSP,f1,150,2400,0.8941176470588236,0.8798410622874668,0.9074819863318971,0.8935752820009808,0.8573032077947291
Kimi K3 QSP,accuracy,150,2400,0.9220833333333334,0.91125,0.9325,0.92,0.9220833333333333
Kimi K3 QSP,precision,150,2400,0.9152872444011685,0.8975597621647858,0.9317318469785575,0.9148727984344422,0.8809465360762418
Kimi K3 QSP,recall,150,2400,0.9038461538461539,0.8853376839987293,0.9214568316921029,0.8990384615384616,0.8735030010474094
Kimi K3 QSP,f1,150,2400,0.9095307208514756,0.8960073014821612,0.9219440353460971,0.9068865179437441,0.8745748089712744
GPT-4o FT,accuracy,150,2400,0.9029166666666667,0.8908333333333334,0.9145833333333333,0.9029166666666667,0.9029166666666667
GPT-4o FT,precision,150,2400,0.9207507820646507,0.9031916604377884,0.9376948713572985,0.9207507820646507,0.9237184502204653
GPT-4o FT,recall,150,2400,0.8490384615384615,0.8270889812167533,0.8711897738446411,0.8490384615384615,0.8453238402917953
GPT-4o FT,f1,150,2400,0.8834417208604302,0.8679631525076766,0.8980009803921568,0.8834417208604302,0.8753988814955584
GPT-4o QSP,accuracy,150,2400,0.845,0.8308333333333333,0.8591666666666666,0.845,0.845
GPT-4o QSP,precision,150,2400,0.8346693386773547,0.8113571019919904,0.857282600686718,0.8346693386773547,0.7916937826210277
GPT-4o QSP,recall,150,2400,0.8009615384615385,0.7763785390272114,0.8249528529980658,0.8009615384615385,0.8004293606233253
GPT-4o QSP,f1,150,2400,0.817468105986261,0.7992123532204215,0.834809356260481,0.817468105986261,0.7824783668784693
GPT-4o FT+QSP,accuracy,150,2400,0.88,0.8666666666666667,0.8925,0.88,0.8799999999999999
GPT-4o FT+QSP,precision,150,2400,0.8828920570264766,0.862499684024267,0.9029417022171483,0.8828920570264766,0.855791687198867
GPT-4o FT+QSP,recall,150,2400,0.8336538461538462,0.811373974246108,0.8564453125,0.8336538461538462,0.8179469830288142
GPT-4o FT+QSP,f1,150,2400,0.8575667655786351,0.8409171104828282,0.8734245766978025,0.8575667655786351,0.8315120864029507
