model_key,run_id,PMID,ok,attempts,latency_s,prompt_tokens,completion_tokens,reasoning_tokens,cost_usd,cached_tokens,finish_reason,json_status,n_answers,served_model
gpt6-astra,1,37626789,True,1,55.58,30892.0,3024.0,99.0,0.46012,0.0,stop,strict,16,gpt-6-astra
gpt6-astra,1,40872801,True,2,43.12,38680.0,2512.0,94.0,0.5124,0.0,stop,strict,16,gpt-6-astra
gpt6-astra,1,36920025,False,1,62.98,,,,,,,no_response,0,
gpt6-astra,1,41029850,True,1,57.31,20564.0,3162.0,61.0,0.36374,0.0,stop,strict,16,gpt-6-astra
gpt6-astra,1,38090027,True,1,58.09,21681.0,3191.0,104.0,0.37636,0.0,stop,strict,16,gpt-6-astra
gpt6-astra,1,38140649,True,2,45.51,46800.0,2788.0,48.0,0.6074,0.0,stop,strict,16,gpt-6-astra
gpt6-astra,1,41056006,True,1,58.72,18751.0,3276.0,86.0,0.35131,0.0,stop,strict,16,gpt-6-astra
gpt6-astra,1,40974886,True,1,61.23,23002.0,3413.0,191.0,0.40067,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-high,1,37515146,True,3,49.27,29358.0,3630.0,1024.0,0.47508,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-high,1,37920909,True,2,75.65,11576.0,3407.0,1024.0,0.28611,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-high,1,41112839,True,1,86.71,17640.0,3779.0,1025.0,0.36535,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-high,1,37872202,True,3,63.46,38318.0,4088.0,1536.0,0.58758,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-high,1,41130593,True,3,113.54,30360.0,5498.0,2520.0,0.5785,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-high,1,40839365,True,3,121.1,18270.0,5607.0,2560.0,0.46305,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-high,1,37340869,True,1,146.64,24578.0,6365.0,3586.0,0.343998,24448.0,stop,strict,16,gpt-6-astra
gpt6-astra-high,1,40431710,True,2,144.83,19224.0,7031.0,3578.0,0.54379,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-high,1,40938120,True,5,78.74,28320.0,3543.0,1024.0,0.46035,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-high,1,37957382,True,3,208.11,55150.0,9032.0,6080.0,1.0031,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-med,1,41112839,True,1,53.85,17640.0,2844.0,49.0,0.3186,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-med,1,37340869,True,1,61.32,24578.0,3084.0,318.0,0.39998,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-med,1,37515146,True,2,51.21,29358.0,2482.0,71.0,0.41768,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-med,1,37872202,True,2,51.25,38318.0,2629.0,64.0,0.51463,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-med,1,37957382,True,1,61.93,55150.0,3095.0,381.0,0.70625,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-med,1,41130593,True,1,66.95,30360.0,3189.0,114.0,0.46305,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-med,1,37920909,True,3,50.04,11576.0,2200.0,44.0,0.22576,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-med,1,40938120,True,3,51.72,28320.0,2571.0,83.0,0.41175,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-med,1,40431710,True,3,65.51,19224.0,3542.0,221.0,0.36934,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-med,1,40839365,True,4,49.59,18270.0,3007.0,146.0,0.33305,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5,1,37920909,True,1,36.58,11648.0,2155.0,54.0,0.22423,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5,1,37515146,True,1,41.93,29430.0,2617.0,32.0,0.42515,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5,1,40938120,True,1,44.65,28392.0,2572.0,35.0,0.41252,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5,1,40839365,True,1,45.49,18342.0,2790.0,87.0,0.32292,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5,1,37872202,True,1,46.38,38390.0,2658.0,51.0,0.5168,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5,1,41112839,True,1,47.8,17712.0,2810.0,43.0,0.31762,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5,1,41130593,True,1,52.65,30432.0,3053.0,201.0,0.45697,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5,1,40431710,True,1,58.91,19296.0,3586.0,214.0,0.37226,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5,1,37957382,True,1,60.4,55222.0,3260.0,402.0,0.71522,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5,1,37340869,True,1,65.8,24650.0,3495.0,755.0,0.42125,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,37920909,True,1,32.34,11629.0,2176.0,41.0,0.22509,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,40938120,True,1,39.07,28373.0,2430.0,27.0,0.40523,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,37515146,True,1,41.5,29411.0,2501.0,33.0,0.41916,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,40839365,True,1,42.72,18323.0,2803.0,89.0,0.32338,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,41112839,True,1,45.61,17693.0,2842.0,43.0,0.31903,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,37872202,True,1,47.07,38371.0,2648.0,51.0,0.51611,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,37340869,True,1,48.03,24631.0,2837.0,177.0,0.38816,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,40431710,True,1,59.61,19277.0,3646.0,287.0,0.37507,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,41130593,True,1,60.05,30413.0,3194.0,140.0,0.46383,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,37957382,True,1,65.85,55203.0,3664.0,747.0,0.73523,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,37358226,True,1,38.42,11978.0,2145.0,23.0,0.22703,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,37540331,True,1,41.26,22246.0,2396.0,61.0,0.34226,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,37966701,True,1,41.76,19086.0,2484.0,42.0,0.31506,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,36795586,True,1,44.85,20751.0,2563.0,64.0,0.33566,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,40431742,True,1,46.97,27474.0,2370.0,48.0,0.39324,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,21115794,True,1,47.09,25924.0,2561.0,100.0,0.38729,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,37817087,True,1,47.36,18840.0,2436.0,72.0,0.3102,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,37029656,True,1,47.43,8333.0,2694.0,50.0,0.21803,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,40573423,True,1,48.54,24025.0,2502.0,137.0,0.36535,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,37973713,True,1,48.89,21703.0,2780.0,41.0,0.35603,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,40713598,True,1,49.25,13026.0,2541.0,72.0,0.25731,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,40400229,True,1,49.65,11329.0,2635.0,274.0,0.24504,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,37573167,True,1,50.04,23603.0,2589.0,84.0,0.36548,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,40763144,True,1,50.15,26581.0,2728.0,41.0,0.40221,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,37381002,True,1,50.51,17470.0,2570.0,55.0,0.3032,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,40490983,True,1,51.68,30716.0,2747.0,56.0,0.44451,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,37662576,True,1,51.73,24619.0,2458.0,71.0,0.36909,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,41093949,True,1,53.01,20828.0,2614.0,93.0,0.33898,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,40872801,True,1,53.76,38733.0,2452.0,65.0,0.50993,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,41057785,True,1,55.57,18330.0,2873.0,79.0,0.32695,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,41004608,True,1,55.59,23159.0,2733.0,94.0,0.36824,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,36920025,True,1,57.02,53244.0,2892.0,100.0,0.67704,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,41088231,True,1,57.92,18795.0,2929.0,113.0,0.3344,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,41091504,True,1,58.03,34071.0,2661.0,150.0,0.47376,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,37626789,True,1,60.02,30945.0,3043.0,65.0,0.4616,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,38140649,True,1,59.99,46853.0,2928.0,30.0,0.61493,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,41029850,True,1,60.26,20617.0,3251.0,65.0,0.36872,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,38090027,True,1,62.89,21734.0,3240.0,148.0,0.37934,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,41056006,True,1,63.06,18804.0,3172.0,228.0,0.34664,0.0,stop,strict,16,gpt-6-astra
gpt6-astra-q5v2,1,40974886,True,1,70.32,23055.0,3498.0,192.0,0.40545,0.0,stop,strict,16,gpt-6-astra
kimi-k3,1,41112839,True,1,108.09,25618.0,4149.0,1898.0,0.139089,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,37515146,True,1,117.99,37164.0,4622.0,2336.0,0.180822,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,37920909,True,1,143.4,13990.0,4093.0,1951.0,0.103365,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,40938120,True,1,141.97,42672.0,5484.0,3007.0,0.210276,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,37872202,True,1,148.31,49197.0,5341.0,2982.0,0.227706,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,40431710,True,1,196.68,24270.0,7019.0,4077.0,0.178095,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,40839365,True,1,199.85,23363.0,7597.0,5039.0,0.184044,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,37957382,True,1,258.85,76574.0,9565.0,6686.0,0.373197,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,41130593,True,1,337.9,43957.0,10783.0,7947.0,0.293616,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,37340869,True,1,432.43,30398.0,12297.0,9441.0,0.275649,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,37966701,True,1,75.33,29595.0,2735.0,783.0,0.12981,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,21115794,True,1,82.76,33192.0,2913.0,821.0,0.143271,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,37029656,True,1,81.77,9697.0,3338.0,1257.0,0.079161,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,37358226,True,1,82.67,14568.0,3007.0,1085.0,0.088809,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,37540331,True,1,84.4,28721.0,3065.0,1091.0,0.132138,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,37662576,True,1,86.88,36100.0,3014.0,998.0,0.15351,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,37817087,True,1,96.78,29292.0,3778.0,1725.0,0.144546,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,36795586,True,1,103.96,24293.0,3917.0,1887.0,0.131634,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,40431742,True,1,102.91,38272.0,4413.0,2263.0,0.181011,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,40872801,True,1,107.74,56103.0,4019.0,2118.0,0.228594,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,38140649,True,1,113.57,62946.0,4817.0,2162.0,0.261093,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,40713598,True,1,111.87,21322.0,4918.0,2506.0,0.137736,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,37626789,True,1,119.25,39084.0,5195.0,2498.0,0.195177,0.0,stop,lenient,16,moonshotai/kimi-k3
kimi-k3,1,38090027,True,1,127.96,28956.0,5517.0,2935.0,0.169623,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,36920025,True,1,133.22,73104.0,4866.0,2273.0,0.292302,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,40763144,True,1,125.96,36140.0,5620.0,2813.0,0.19272,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,41004608,True,1,124.89,29593.0,5252.0,2946.0,0.167559,0.0,stop,lenient,16,moonshotai/kimi-k3
kimi-k3,1,40490983,True,1,144.41,38643.0,5852.0,3359.0,0.203709,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,37973713,True,1,155.2,27716.0,6823.0,4265.0,0.185493,0.0,stop,lenient,16,moonshotai/kimi-k3
kimi-k3,1,37573167,True,1,162.39,30139.0,6951.0,4154.0,0.194682,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,40573423,True,1,157.74,33312.0,6641.0,4367.0,0.199551,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,41091504,True,1,104.73,43555.0,4354.0,2290.0,0.1862982,3584.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,41093949,True,1,105.53,27173.0,4943.0,2197.0,0.1459872,3584.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,37381002,True,1,195.16,24764.0,8098.0,5553.0,0.195762,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,40400229,True,1,211.82,13918.0,9240.0,7022.0,0.180354,0.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,41029850,True,1,139.0,32117.0,7144.0,4052.0,0.1938342,3584.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,41057785,True,1,136.11,29127.0,6642.0,3823.0,0.1773342,3584.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,41088231,True,1,206.29,31074.0,9967.0,6988.0,0.2330502,3584.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,41056006,True,1,228.68,40306.0,10196.0,7465.0,0.2641812,3584.0,stop,strict,16,moonshotai/kimi-k3
kimi-k3,1,40974886,True,1,332.86,29185.0,14473.0,11523.0,0.30465,0.0,stop,strict,16,moonshotai/kimi-k3
