family,comparison,base_model,target_model,n_articles,base_exact_count,base_exact_rate,target_exact_count,target_exact_rate,delta_exact_rate,delta_ci_low,delta_ci_high,target_only,base_only,both_exact,neither_exact,discordant_pairs,raw_p,adj_p,significant_bh_0_05,raw_p_display,adj_p_display
GPT-4o,FT,GPT-4o base,GPT-4o FT,150,23,0.15333333333333332,57,0.38,0.22666666666666668,0.14666666666666667,0.30666666666666664,39,5,18,88,44,1.4051624930289108e-07,1.2646462437260197e-06,True,< 0.001,< 0.001
GPT-4o,QSP,GPT-4o base,GPT-4o QSP,150,23,0.15333333333333332,23,0.15333333333333332,0.0,-0.08,0.08,18,18,5,109,36,1.0,1.0,False,1.000,1.000
GPT-4o,FT+QSP,GPT-4o base,GPT-4o FT+QSP,150,23,0.15333333333333332,41,0.2733333333333333,0.12,0.03333333333333333,0.20666666666666667,31,13,10,96,44,0.009559878856634896,0.017207781941942814,True,0.010,0.017
Llama3.1-70B,FT,Llama3.1-70B base,Llama3.1-70B FT,150,17,0.11333333333333333,49,0.32666666666666666,0.21333333333333332,0.13333333333333333,0.29333333333333333,38,6,11,95,44,9.430375484953402e-07,4.243668968229031e-06,True,< 0.001,< 0.001
Llama3.1-70B,QSP,Llama3.1-70B base,Llama3.1-70B QSP,150,17,0.11333333333333333,39,0.26,0.14666666666666667,0.06666666666666667,0.22666666666666666,31,9,8,102,40,0.0006795482549932785,0.0020386447649798356,True,< 0.001,0.002
Llama3.1-70B,FT+QSP,Llama3.1-70B base,Llama3.1-70B FT+QSP,150,17,0.11333333333333333,36,0.24,0.12666666666666665,0.04666666666666667,0.20666666666666667,29,10,7,104,39,0.0033778479119064286,0.007600157801789464,True,0.003,0.008
Llama3.1-8B,FT,Llama3.1-8B base,Llama3.1-8B FT,150,21,0.14,27,0.18,0.03999999999999998,-0.02666666666666667,0.10666666666666667,15,9,12,114,24,0.30745625495910645,0.34588828682899475,False,0.307,0.346
Llama3.1-8B,QSP,Llama3.1-8B base,Llama3.1-8B QSP,150,21,0.14,11,0.07333333333333333,-0.06666666666666668,-0.13333333333333333,0.0,8,18,3,121,26,0.07551869750022888,0.09709546821458,False,0.076,0.097
Llama3.1-8B,FT+QSP,Llama3.1-8B base,Llama3.1-8B FT+QSP,150,21,0.14,12,0.08,-0.06000000000000001,-0.12,-0.006666666666666667,5,14,7,124,19,0.063568115234375,0.0953521728515625,False,0.064,0.095
