model,Type,n,correct,correct_partial_list,FP,FN_missed,FN_wrong_value
GPT-6 Astra QSP,All,2384,2159,12,87,68,44
GPT-6 Astra QSP,Boolean,1043,970,0,41,29,0
GPT-6 Astra QSP,List,1192,1071,12,44,30,24
GPT-6 Astra QSP,Number,149,118,0,2,9,20
Kimi K3 QSP,All,2384,2180,12,86,50,39
Kimi K3 QSP,Boolean,1043,988,0,28,24,0
Kimi K3 QSP,List,1192,1066,12,56,23,21
Kimi K3 QSP,Number,149,126,0,2,3,18
GPT-4o FT,All,2384,2136,15,76,94,57
GPT-4o FT,Boolean,1043,988,0,27,26,1
GPT-4o FT,List,1192,1024,15,46,59,43
GPT-4o FT,Number,149,124,0,3,9,13
GPT-4o QSP,All,2384,1990,22,165,132,69
GPT-4o QSP,Boolean,1043,933,0,77,32,0
GPT-4o QSP,List,1192,933,22,82,95,55
GPT-4o QSP,Number,149,124,0,6,5,14
GPT-4o FT+QSP,All,2384,2079,17,115,111,54
GPT-4o FT+QSP,Boolean,1043,964,0,46,32,0
GPT-4o FT+QSP,List,1192,991,17,64,74,39
GPT-4o FT+QSP,Number,149,124,0,5,5,15
